来源,序号/名称,标题/名称,提取餐厅/地点名,Google Maps查询URL,Google查询词,Google候选名,Google候选详情,Google纬度,Google经度,Google页面文件,Google搜索状态,是否可先作为地址候选,备注
小红书,4,塔什干｜乌兹庭院民族风餐厅JIGARIM,JIGARIM,https://www.google.com/maps/search/JIGARIM%20Tashkent%20Uzbekistan%20restaurant,JIGARIM JIGARIM Tashkent Uzbekistan restaurant,# Google 地图, |  | 附近 | 发送到手机,41.2809066,69.2928924,/Users/g90/xiaohongshu_tandian_recovered/tandian_only/xhs_google_yandex_83/google_pages/01_seq4_JIGARIM.md,Google有坐标待Yandex坐标复核,否,Google页面有坐标但候选名未解析出具体地点名，需打开详情页确认
小红书,5,塔什干｜乌兹庭院民族风餐厅JIGARIM,JIGARIM,https://www.google.com/maps/search/JIGARIM%20Tashkent%20Uzbekistan%20restaurant,JIGARIM JIGARIM Tashkent Uzbekistan restaurant,Jigarim restaurant,餐馆；Google Maps 详情页,41.2809066,69.2928924,/Users/g90/Documents/Codex/2026-06-13/hermes/work/maps_reads_next/002_JIGARIM.md,Google Maps已确认,是,同名详情页；坐标来自第二批 Google Maps 读取页。
小红书,7,塔什干｜乌兹民族菜 Shesh Besh,Shesh Besh,https://www.google.com/maps/search/Shesh%20Besh%20Tashkent%20Uzbekistan%20restaurant,Shesh Besh Shesh Besh Tashkent Uzbekistan,# Google 地图,"https://www.instagram.com/ https://www.instagram.com › DXy-xscIUWR | если у вас в Ташкенте один день, то обязательно советую .. | Но оно того стоит. Наконец-то долгожданное летнее меню в Shesh Besh! ... One day in the life of a content maker in Tashkent. In the morning we ...",41.2939992,69.2643676,/Users/g90/xiaohongshu_tandian_recovered/tandian_only/xhs_google_yandex_83/google_pages/03_seq7_Shesh_Besh.md,Google有坐标待Yandex坐标复核,否,Google页面有坐标但候选名未解析出具体地点名，需打开详情页确认
小红书,9,塔什干｜抓饭博物馆,plov museum,https://www.google.com/maps/search/plov%20museum%20Tashkent%20Uzbekistan%20restaurant,plov museum Tashkent Uzbekistan,Plov Museum,餐馆；Google Maps 详情页,41.3315216,69.3124388,/Users/g90/Documents/Codex/2026-06-13/hermes/work/maps_reads_next/004_plov_museum.md,Google Maps已确认,是,同名/英文等价详情页；坐标来自第二批 Google Maps 读取页。
小红书,10,塔什干｜印度菜 The host,The Host,https://www.google.com/maps/search/The%20Host%20Tashkent%20Uzbekistan%20restaurant,The host The Host Indian Restaurant Tashkent Uzbekistan,The Host- Indian Restaurant,"Street Oybek 65/4, 100015, Тоshkent",41.2914696,69.2827894,/Users/g90/Documents/Codex/2026-06-13/hermes/work/maps_reads_next/005_The_Host.md,Google Maps已确认,是,同名详情页；地址和坐标来自第二批 Google Maps 读取页。
小红书,12,塔什干｜Lali 高品质乌兹民族菜 都吃啥,Lali,https://www.google.com/maps/search/Lali%20Tashkent%20Uzbekistan%20restaurant,Lali Lali Tashkent Uzbekistan,Lali Restaurant,餐馆；Google Maps 详情页,41.3279321,69.2779741,/Users/g90/Documents/Codex/2026-06-13/hermes/work/maps_reads_next/006_Lali.md,Google Maps已确认,是,同名详情页；坐标来自第二批 Google Maps 读取页。
小红书,54,塔什干 100块的brunch 巧克力蛋糕超浓郁,COCOCHOU BAKERY,https://www.google.com/maps/search/COCOCHOU%20BAKERY%20Tashkent%20Uzbekistan%20restaurant,brunch brunch Tashkent Uzbekistan cake shop,COCOCHOU BAKERY,"Mirobod ko'chasi 39, 100015, Тоshkent",41.2928277,69.2717089,/Users/g90/xiaohongshu_tandian_recovered/tandian_only/xhs_google_yandex_83/google_pages/11_seq54_100块的brunch_巧克力蛋糕超浓郁.md,用户补充地址+Google Maps已确认,是,用户补充 Cocochou 地址与 Google Maps 同名详情页一致。
小红书,56,塔什干 友谊餐厅,友谊餐厅,https://www.google.com/maps/search/%E5%8F%8B%E8%B0%8A%E9%A4%90%E5%8E%85%20Tashkent%20Uzbekistan%20restaurant,Tashkent Uzbekistan restaurant,Yuzhanin,4.7 (689) | 餐馆·Turkiston ko'chasi 12a | 已结束营业 · 开始营业时间：11:00 | 堂食·外带,41.2915523,69.2837310,/Users/g90/xiaohongshu_tandian_recovered/tandian_only/xhs_google_yandex_83/google_pages/13_seq56_友谊餐厅.md,Google有坐标待Yandex坐标复核,是,
小红书,57,塔什干 index市场里的福建菜,Index market,https://www.google.com/maps/search/Index%20market%20Tashkent%20Uzbekistan%20restaurant,index in market Tashkent Uzbekistan,Tashkent Index,4.5 (239) | 展览贸易中心··662Q+52W | 已结束营业 · 开始营业时间：09:00· +998 99 332 33 33,41.2004991,69.2375901,/Users/g90/xiaohongshu_tandian_recovered/tandian_only/xhs_google_yandex_83/google_pages/14_seq57_index.md,Google有坐标待Yandex坐标复核,是,
小红书,59,塔什干 西西里餐厅 Sorrento,Sorrento,https://www.google.com/maps/search/Sorrento%20Tashkent%20Uzbekistan%20restaurant,Sorrento T08 sessionId vertical hasMore false stopReason end of scroll horizontal hasMore false restaurant Tashkent Uzbekistan,# Google 地图,,41.2919662,69.2707830,/Users/g90/xiaohongshu_tandian_recovered/tandian_only/xhs_google_yandex_83/google_pages/15_seq59_Sorrento.md,Google有坐标待Yandex坐标复核,否,Google页面有坐标但候选名未解析出具体地点名，需打开详情页确认
