来源,序号/名称,标题/名称,提取餐厅/地点名,Google Maps查询URL,Google查询词,Google候选名,Google候选详情,Google纬度,Google经度,Google页面文件,Google搜索状态,是否可先作为地址候选,备注
小红书,4,塔什干｜乌兹庭院民族风餐厅JIGARIM,JIGARIM,https://www.google.com/maps/search/JIGARIM%20Tashkent%20Uzbekistan%20restaurant,JIGARIM JIGARIM Tashkent Uzbekistan restaurant,# Google 地图, |  | 附近 | 发送到手机,41.2809066,69.2928924,/Users/g90/xiaohongshu_tandian_recovered/tandian_only/xhs_google_yandex_83/google_pages/01_seq4_JIGARIM.md,Google有坐标待Yandex坐标复核,否,Google页面有坐标但候选名未解析出具体地点名，需打开详情页确认
小红书,5,塔什干｜乌兹庭院民族风餐厅JIGARIM,JIGARIM,https://www.google.com/maps/search/JIGARIM%20Tashkent%20Uzbekistan%20restaurant,JIGARIM JIGARIM Tashkent Uzbekistan restaurant,# Google 地图,附近的餐馆 酒店 推荐活动 酒吧 咖啡馆 外带 便利店,,,/Users/g90/xiaohongshu_tandian_recovered/tandian_only/xhs_google_yandex_83/google_pages/02_seq5_JIGARIM.md,Google有文字候选无坐标,否,Google页面有坐标但候选名未解析出具体地点名，需打开详情页确认
小红书,7,塔什干｜乌兹民族菜 Shesh Besh,Shesh Besh,https://www.google.com/maps/search/Shesh%20Besh%20Tashkent%20Uzbekistan%20restaurant,Shesh Besh Shesh Besh Tashkent Uzbekistan,# Google 地图,"https://www.instagram.com/ https://www.instagram.com › DXy-xscIUWR | если у вас в Ташкенте один день, то обязательно советую .. | Но оно того стоит. Наконец-то долгожданное летнее меню в Shesh Besh! ... One day in the life of a content maker in Tashkent. In the morning we ...",41.2939992,69.2643676,/Users/g90/xiaohongshu_tandian_recovered/tandian_only/xhs_google_yandex_83/google_pages/03_seq7_Shesh_Besh.md,Google有坐标待Yandex坐标复核,否,Google页面有坐标但候选名未解析出具体地点名，需打开详情页确认
小红书,9,塔什干｜抓饭博物馆,plov museum,https://www.google.com/maps/search/plov%20museum%20Tashkent%20Uzbekistan%20restaurant,plov museum Tashkent Uzbekistan,# Google 地图,"https://visit.tashkent.uz/ https://visit.tashkent.uz › restaurant | Plov Museum (Traditional Uzbek ) - Visit Tashkent | Cuisine: A unique ""museum-restaurant"" concept where you can taste various regional styles of Uzbek pilaf (Plov) in one place, including Samarkand and Tashkent ...",,,/Users/g90/xiaohongshu_tandian_recovered/tandian_only/xhs_google_yandex_83/google_pages/05_seq9_plov_museum.md,Google有文字候选无坐标,否,Google页面有坐标但候选名未解析出具体地点名，需打开详情页确认
小红书,10,塔什干｜印度菜 The host,The Host,https://www.google.com/maps/search/The%20Host%20Tashkent%20Uzbekistan%20restaurant,The host The Host Indian Restaurant Tashkent Uzbekistan,# Google 地图,"https://www.instagram.com/ https://www.instagram.com › thehost | 您的收藏 | The Host Indian Restaurant (@thehost.uz) - Instagram | The Host brings Fine Indian cuisine to Uzbekistan. Find yourself dining in a festive, vibrant ambiance with a Metropolitan twist.",,,/Users/g90/xiaohongshu_tandian_recovered/tandian_only/xhs_google_yandex_83/google_pages/06_seq10_The_host.md,Google有文字候选无坐标,否,Google页面有坐标但候选名未解析出具体地点名，需打开详情页确认
小红书,12,塔什干｜Lali 高品质乌兹民族菜 都吃啥,Lali,https://www.google.com/maps/search/Lali%20Tashkent%20Uzbekistan%20restaurant,Lali Lali Tashkent Uzbekistan,# Google 地图,"https://yandex.ru/ https://yandex.ru › ... › Рестораны | 您的收藏 | Lali, ресторан, Ташкент, массив Киёт, 57Б — Яндекс Карты | Ресторан Lali по адресу Ташкент, массив Киёт 57Б, метро «Минор», ☎️ +998 50 333 5757 ... Restaurant & LoungeBier RegenTrattoria AGiottoToscana RistoranteКиш Миш ...",,,/Users/g90/xiaohongshu_tandian_recovered/tandian_only/xhs_google_yandex_83/google_pages/07_seq12_Lali.md,Google有文字候选无坐标,否,Google页面有坐标但候选名未解析出具体地点名，需打开详情页确认
小红书,59,塔什干 西西里餐厅 Sorrento,Sorrento,https://www.google.com/maps/search/Sorrento%20Tashkent%20Uzbekistan%20restaurant,Sorrento T08 sessionId vertical hasMore false stopReason end of scroll horizontal hasMore false restaurant Tashkent Uzbekistan,# Google 地图,,41.2919662,69.2707830,/Users/g90/xiaohongshu_tandian_recovered/tandian_only/xhs_google_yandex_83/google_pages/15_seq59_Sorrento.md,Google有坐标待Yandex坐标复核,否,Google页面有坐标但候选名未解析出具体地点名，需打开详情页确认
小红书,71,塔什干 最红的syrovarnya 吃嗨了,Syrovarnya,https://www.google.com/maps/search/Syrovarnya%20Tashkent%20Uzbekistan%20restaurant,syrovarnya syrovarnya Tashkent Uzbekistan,# Google 地图,,41.3118672,69.2856216,/Users/g90/xiaohongshu_tandian_recovered/tandian_only/xhs_google_yandex_83/google_pages/19_seq71_最红的syrovarnya_吃嗨了.md,Google有坐标待Yandex坐标复核,否,Google页面有坐标但候选名未解析出具体地点名，需打开详情页确认
小红书,78,塔什干 kitana 300w吃了个寂寞,Kitana,https://www.google.com/maps/search/Kitana%20Tashkent%20Uzbekistan%20restaurant,kitana kitana Tashkent Uzbekistan,# Google 地图,,41.3121108,69.2860065,/Users/g90/xiaohongshu_tandian_recovered/tandian_only/xhs_google_yandex_83/google_pages/22_seq78_kitana.md,Google有坐标待Yandex坐标复核,否,Google页面有坐标但候选名未解析出具体地点名，需打开详情页确认
小红书,84,塔什干 index市场里的本地菜 doda,Doda,https://www.google.com/maps/search/Doda%20Tashkent%20Uzbekistan%20restaurant,doda index doda market Tashkent Uzbekistan,# Google 地图,,41.3715299,69.1486849,/Users/g90/xiaohongshu_tandian_recovered/tandian_only/xhs_google_yandex_83/google_pages/26_seq84_doda.md,Google有坐标待Yandex坐标复核,否,Google页面有坐标但候选名未解析出具体地点名，需打开详情页确认
小红书,90,塔什干 棒约翰披萨🍕,Papa Johns,https://www.google.com/maps/search/Papa%20Johns%20Tashkent%20Uzbekistan%20restaurant,Tashkent Uzbekistan,# Google 地图,,41.2982211,69.2385223,/Users/g90/xiaohongshu_tandian_recovered/tandian_only/xhs_google_yandex_83/google_pages/28_seq90_塔什干_棒约翰披萨_.md,Google有坐标待Yandex坐标复核,否,Google页面有坐标但候选名未解析出具体地点名，需打开详情页确认
